690150,"TWENTYNINE PALMS",CA,-8.0,34.300,-116.167,626
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/1998,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,5.7,E,9,-7.3,E,9,36,A,7,957,E,9,360,E,9,3.4,E,9,-9900,?,0,2929,E,9,1.6,E,8,0.043,F,8,0.190,F,8,-9900,-9900,?,0
01/01/1998,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,5.8,E,9,-8.2,E,9,33,A,7,957,E,9,360,E,9,2.3,E,9,-9900,?,0,20417,E,9,1.6,E,8,0.043,F,8,0.190,F,8,-9900,-9900,?,0
01/01/1998,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,5.9,E,9,-9.1,E,9,30,A,7,957,E,9,340,E,9,3.2,E,9,-9900,?,0,77777,E,9,1.6,E,8,0.043,F,8,0.190,F,8,-9900,-9900,?,0
01/01/1998,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,7.0,E,9,-10.0,E,9,26,A,7,957,E,9,310,E,9,2.6,E,9,-9900,?,0,77777,E,9,1.5,E,8,0.043,F,8,0.190,F,8,-9900,-9900,?,0
01/01/1998,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,5.0,E,9,-11.0,E,9,27,A,7,958,E,9,330,E,9,1.5,E,9,-9900,?,0,77777,E,9,1.5,E,8,0.043,F,8,0.190,F,8,-9900,-9900,?,0
01/01/1998,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,6.0,E,9,-10.0,E,9,28,A,7,959,E,9,330,E,9,4.1,E,9,-9900,?,0,77777,E,9,1.6,E,8,0.043,F,8,0.190,F,8,-9900,-9900,?,0
01/01/1998,07:00,2,177,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,3,E,9,3,E,9,6.0,E,9,-10.0,E,9,28,A,7,959,E,9,290,E,9,3.1,E,9,-9900,?,0,6096,E,9,1.6,E,8,0.043,F,8,0.190,F,8,-9900,-9900,?,0
01/01/1998,08:00,153,1415,71,2,8,418,2,15,25,2,8,7073,2,8,26551,2,15,4181,2,8,460,2,19,3,E,9,3,E,9,5.0,E,9,-10.0,E,9,30,A,7,960,E,9,320,E,9,3.1,E,9,-9900,?,0,6096,E,9,1.6,E,8,0.043,F,8,0.190,F,8,-9900,-9900,?,0
01/01/1998,09:00,386,1415,238,2,8,680,2,15,51,2,8,24406,2,8,59225,2,15,8170,2,8,997,2,19,2,E,9,2,E,9,7.0,E,9,-9.0,E,9,28,A,7,960,E,9,340,E,9,3.1,E,9,-9900,?,0,6096,E,9,1.6,E,8,0.043,F,8,0.190,F,8,-9900,-9900,?,0
01/01/1998,10:00,573,1415,395,2,8,836,2,15,54,2,8,41457,2,8,79382,2,15,9161,2,8,1254,2,19,3,E,9,3,E,9,8.0,E,9,-9.0,E,9,26,A,7,960,E,9,10,E,9,1.5,E,9,-9900,?,0,6096,E,9,1.6,E,8,0.043,F,8,0.190,F,8,-9900,-9900,?,0
01/01/1998,11:00,700,1415,498,2,8,845,2,15,79,2,8,52693,2,8,83040,2,15,11413,2,8,1741,2,19,2,E,9,2,E,9,10.0,E,9,-9.0,E,9,23,A,7,960,E,9,340,E,9,1.5,E,9,-9900,?,0,6096,E,9,1.6,E,8,0.043,F,8,0.190,F,8,-9900,-9900,?,0
01/01/1998,12:00,759,1415,544,2,8,839,2,15,92,2,8,57095,2,8,82911,2,15,12433,2,8,2028,2,19,3,E,9,3,E,9,14.0,E,9,-8.0,E,9,19,A,7,960,E,9,300,E,9,1.5,E,9,-9900,?,0,6096,E,9,1.6,E,8,0.043,F,8,0.190,F,8,-9900,-9900,?,0
01/01/1998,13:00,745,1415,529,2,8,827,2,15,92,2,8,55409,2,8,81505,2,15,12321,2,8,1998,2,19,3,E,9,3,E,9,18.0,E,9,-7.0,E,9,16,A,7,960,E,9,0,E,9,0.0,E,9,-9900,?,0,6096,E,9,1.6,E,8,0.043,F,8,0.190,F,8,-9900,-9900,?,0
01/01/1998,14:00,659,1415,451,2,8,728,2,15,111,2,8,47194,2,8,70984,2,15,13991,2,8,2288,2,19,2,E,9,2,E,9,18.0,E,9,-7.0,E,9,16,A,7,960,E,9,0,E,9,0.0,E,9,-9900,?,0,6096,E,9,1.6,E,8,0.043,F,8,0.190,F,8,-9900,-9900,?,0
01/01/1998,15:00,507,1415,332,2,8,681,2,15,87,2,8,34477,2,8,63017,2,15,11780,2,8,1670,2,19,4,E,9,3,E,9,18.0,E,9,-6.0,E,9,18,A,7,960,E,9,0,E,9,0.0,E,9,-9900,?,0,6096,E,9,1.6,E,8,0.043,F,8,0.190,F,8,-9900,-9900,?,0
01/01/1998,16:00,300,1415,226,2,8,530,2,15,113,2,8,22354,2,8,40439,2,15,13722,2,8,2213,2,19,0,E,9,0,E,9,18.0,E,9,-7.0,E,9,16,A,7,960,E,9,260,E,9,1.5,E,9,-9900,?,0,77777,E,9,1.6,E,8,0.043,F,8,0.190,F,8,-9900,-9900,?,0
01/01/1998,17:00,67,1049,15,2,8,185,2,15,7,2,8,2121,2,8,11146,2,15,1359,2,8,227,2,19,4,E,9,2,E,9,17.0,E,9,-8.0,E,9,16,A,7,961,E,9,0,E,9,0.0,E,9,-9900,?,0,14048,E,9,1.6,E,8,0.043,F,8,0.190,F,8,-9900,-9900,?,0
01/01/1998,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,3,E,9,12.0,E,9,-10.0,E,9,19,A,7,961,E,9,290,E,9,3.6,E,9,-9900,?,0,6096,E,9,1.6,E,8,0.043,F,8,0.190,F,8,-9900,-9900,?,0
01/01/1998,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,1,E,9,11.0,E,9,-10.0,E,9,20,A,7,961,E,9,280,E,9,5.2,E,9,-9900,?,0,77777,E,9,1.6,E,8,0.043,F,8,0.190,F,8,-9900,-9900,?,0
01/01/1998,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,9.0,E,9,-10.0,E,9,23,A,7,961,E,9,0,E,9,0.0,E,9,-9900,?,0,77777,E,9,1.6,E,8,0.043,F,8,0.190,F,8,-9900,-9900,?,0
01/01/1998,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,8.0,E,9,-11.0,E,9,22,A,7,961,E,9,300,E,9,2.1,E,9,-9900,?,0,77777,E,9,1.6,E,8,0.043,F,8,0.190,F,8,-9900,-9900,?,0
01/01/1998,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,7.0,E,9,-11.0,E,9,24,A,7,961,E,9,290,E,9,3.6,E,9,-9900,?,0,77777,E,9,1.6,E,8,0.043,F,8,0.190,F,8,-9900,-9900,?,0
01/01/1998,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,1,E,9,6.0,E,9,-11.0,E,9,25,A,7,961,E,9,360,E,9,2.1,E,9,-9900,?,0,77777,E,9,1.6,E,8,0.043,F,8,0.190,F,8,-9900,-9900,?,0
