set,crem,crem,reas
r,AH,AH,ANHU
r,BJ,BJ,BEIJ
r,CQ,CQ,CHON
r,FJ,FJ,FUJI
r,GD,GD,GUAD
r,GS,GS,GANS
r,GX,GX,GUAX
r,GZ,GZ,GUIZ
r,HA,HA,HENA
r,HB,HB,HUBE
r,HE,HE,HEBE
r,HI,HI,HAIN
r,HK,HK,HONG
r,HL,HL,HEIL
r,HN,HN,HUNA
r,JL,JL,JILI
r,JS,JS,JINU
r,JX,JX,JINX
r,LN,LN,LIAO
r,MC,MC,MACA
r,NM,NM,NEMO
r,NX,NX,NINX
r,QH,QH,QING
r,SC,SC,SICH
r,SD,SD,SHND
r,SH,SH,SHAN
r,SN,SN,SHAA
r,SX,SX,SHNX
r,TJ,TJ,TIAN
r,XJ,XJ,XING
r,XZ,XZ,TIBE
r,YN,YN,YUNN
r,ZJ,ZJ,ZHEJ
i,EIS,EIS,ADIPIC_ACID
i,AGR,AGR,AGR_FORE
i,AGR,AGR,AGR_FORE_FISH
i,AGR,AGR,AGRICULT
i,EIS,EIS,ALUMINUM_ALUMINA
i,MAN,MAN,AMMONIA
i,MAN,MAN,AMMONIUM_NITRATE
i,CON,CON,ARCHITECTURAL
i,EIS,EIS,BRICK
i,EIS,EIS,BRICKS
i,TRNfr,TRN,CAR_EVAP
i,EIS,EIS,CEMENT
i,EIS,EIS,CERAMICS
i,MAN,MAN,CHEM_PETRCHEM
i,MAN,MAN,CHEMICAL_IND
i,MAN,MAN,CHEMICAL_MATERIAL
i,MAN,MAN,CHEMICAL_PRODUCT
i,EIS,EIS,CMENT
i,EIS,EIS,COKE_OVENS
i,SER,SER,COMM_PUB
i,SER,SER,COMMERCIAL
i,CON,CON,CONSTRUCTION
i,OMN,OMN,COPPER
i,EIS,EIS,CRUDE_STEEL
i,MAN,MAN,DEGREASING
i,AGR,AGR,DIRECT_SOIL
i,c,c,DOM
i,TRNfo,TRN,DOM_NAVI
i,SER,SER,DRY_CLEANING
i,ELE,ELE,ENERGY
i,AGR,AGR,ENTERIC_FERMENTATI
i,MAN,MAN,EXTRACT_PROC
i,AGR,AGR,FERT_PROD
i,AGR,AGR,FERTILIZER
i,AGR,AGR,FERTPROD
i,AGR,AGR,FISHING
i,AGR,AGR,FOOD
i,COL,COL,FUGITIVE_COAL
i,GAS,GAS,FUGITIVE_GAS
i,CRU,CRU,FUGITIVE_OIL
i,GAS,GAS,GAS_PROD
i,GAS,GAS,GASPROD
i,MAN,MAN,GLASS
i,SER,SER,HUMAN
i,AGR,AGR,INDIRECT_SOIL
i,MAN,MAN,INK_PROD
i,EIS,EIS,IRON_AND_STEEL
i,EIS,EIS,IRON_STEEL
i,EIS,EIS,IRON_STEEL_OTHERS
i,OMN,OMN,LEAD
i,MAN,MAN,LEATHER
i,OMN,OMN,LIME
i,MAN,MAN,MANUFACTURING
i,AGR,AGR,MANURE_MANAGEMENT
i,OMN,OMN,MIMING
i,OMN,OMN,MINING
i,EIS,EIS,NITRIC_ACID
i,EIS,EIS,NON_FERR_MET
i,EIS,EIS,NON_FERROUS_METAL
i,OMN,OMN,NON_MET_MINE
i,EIS,EIS,NON_SPECIFIED
i,OIL,OIL,OIL_REFINERY
i,MAN,MAN,OTH_TRANSFORMATION
i,MAN,MAN,OTHER_PROD
i,MAN,MAN,OTHER_USAGE
i,MAN,MAN,OTHERS
i,MAN,MAN,PAINT_PROD
i,MAN,MAN,PAPER
i,c,c,PET_DOG
i,EIS,EIS,PIG_IRON
i,MAN,MAN,PLASTIC
i,ELE,ELE,POWER_PLANTS
i,MAN,MAN,PRINTING
i,TRNfo,TRN,RAILWAY_ETC
i,c,c,RESIDENT
i,AGR,AGR,RICE_CULTIVATION
i,TRNfr,TRN,ROAD
i,TRNpr,TRN,ROAD_BUSES
i,TRNpr,TRN,ROAD_CARS
i,TRNfr,TRN,ROAD_H_TRUCKS
i,TRNfr,TRN,ROAD_L_TRUCKS
i,TRNpr,TRN,ROAD_MC
i,TRNpr,TRN,ROAD_OTHERS
i,MAN,MAN,RUBBER
i,MAN,MAN,SMALL_INCIN
i,MAN,MAN,SMALLINCIN
i,AGR,AGR,SOIL
i,EIS,EIS,STEEL
i,EIS,EIS,SULPHRIC_ACID
i,MAN,MAN,TEXTILE
i,MAN,MAN,UREA
i,TRNfr,TRN,VEHICLE
i,MAN,MAN,WASTE
i,MAN,MAN,WASTE_INCIN
i,WTR,WTR,WASTE_WATER
i,MAN,MAN,WASTEINCIN
i,AGR,AGR,WOOD
i,OMN,OMN,ZINC
e,OTF,OTF,ANIMAL_WASTE
e,COL,COL,BROWN_COAL
e,GAS,GAS,COKE_OVEN_GAS
e,OTF,OTF,CROP_RESIDUE
e,CRU,CRU,CRUDE_OIL
e,COL,COL,DERIVED_COAL
e,OIL,OIL,DIESEL_OIL
e,OTF,OTF,FUELWOOD
e,COL,COL,HARD_COAL
e,CRU,CRU,HEAVY_FUEL_OIL
e,OIL,OIL,KEROSENE
e,OIL,OIL,MOTOR_GASOLINE
e,GAS,GAS,NATURAL_GAS
e,GAS,GAS,OTHER_GAS
e,CRU,CRU,OTHER_HF
e,OIL,OIL,OTHER_LF
e,OTF,OTF,OTHERS
